City,Census URL,County,State,Type,"American Indian- and Alaska Native-owned firms, percent, 2007  ","Persons per household, 2008-2012  ","Foreign born persons, percent, 2008-2012  ","Persons under 18 years, percent, 2010  ","Black or African American alone, percent, 2010 (a)  ","Median value of owner-occupied housing units, 2008-2012  ","Native Hawaiian and Other Pacific Islander-owned firms, percent, 2007  ","Housing units in multi-unit structures, percent, 2008-2012  ","Households, 2008-2012  ","White alone, percent, 2010 (a)  ","Veterans, 2008-2012  ","High school graduate or higher, percent of persons age 25+, 2008-2012  ","Hispanic-owned firms, percent, 2007  ","Population, 2010  ",FIPS Code  ,"Total number of firms, 2007  ","Persons below poverty level, percent, 2008-2012  ","Persons under 5 years, percent, 2010  ","Two or More Races, percent, 2010  ","Persons 65 years and over, percent,  2010  ","Manufacturers shipments, 2007 ($1000)  ","Population, percent change, April 1, 2010 to July 1, 2012  ","Persons per square mile, 2010  ","Merchant wholesaler sales, 2007 ($1000)  ","Women-owned firms, percent, 2007  ","Asian-owned firms, percent, 2007  ","Homeownership rate, 2008-2012  ","Retail sales, 2007 ($1000)  ","Native Hawaiian and Other Pacific Islander alone, percent, 2010 (a)  ","Black-owned firms, percent, 2007  ","Living in same house 1 year & over, percent, 2008-2012  ","Housing units, 2010  ","Population, percent change, April 1, 2010 to July 1, 2013  ","Hispanic or Latino, percent, 2010 (b)  ","Retail sales per capita, 2007  ","American Indian and Alaska Native alone, percent, 2010 (a)  ","Language other than English spoken at home, pct age 5+, 2008-2012  ","Population, 2012 estimate  ","Population, 2013 estimate  ","Per capita money income in past 12 months (2012 dollars), 2008-2012  ","Asian alone, percent, 2010 (a)  ","Bachelor's degree or higher, percent of persons age 25+, 2008-2012  ","Mean travel time to work (minutes), workers age 16+, 2008-2012  ","White alone, not Hispanic or Latino, percent, 2010  ","Median household income, 2008-2012  ","Female persons, percent, 2010  ","Population, 2010 (April 1) estimates base  ","Accommodation and food services sales, 2007 ($1000)  ","Land area in square miles, 2010  "
Mead ,http://quickfacts.census.gov/qfd/states/53/5344480.html,Spokane County,Washington,CDP,F,2.57,5.9,26.2,0.5,198300,F,1.3,2726,94.8,801,93.6,F,7275,44480,F,5.1,4.9,2.6,13.3,0,X,1000.8,0,F,F,83.6,0,0.2,F,90,2842,X,3,NA,1,6,X,X,29510,0.5,27.4,25.6,92.6,60335,50.9,X,0,7.27
Danville ,http://quickfacts.census.gov/qfd/states/18/1816804.html,Hendricks County,Indiana,town,F,2.7,0.6,29.3,0.8,147500,F,21,3165,96.8,532,91.9,F,9001,16804,821,7.7,8,1.4,11.6,0,1.7,1298.8,15032,S,F,73.6,103540,Z,F,81.6,3589,4.7,1.8,12650,0.2,2.2,9154,9424,25240,0.4,24.5,25.5,95.6,57910,51.5,9001,9095,6.93
Superior ,http://quickfacts.census.gov/qfd/states/08/0875640.html,Boulder County,Colorado,town,F,2.73,14.3,31.5,0.9,408100,F,24,4541,80.4,496,99.5,S,12483,75640,1191,4.2,6.9,3.7,3.1,0,2.5,3153.1,D,S,3.9,72.3,128731,Z,F,80.2,4698,3.1,6.6,12186,0.2,18.3,12792,12865,50687,13.8,75,23.4,75.3,107921,49.3,12483,14638,3.96
Shreveport ,http://quickfacts.census.gov/qfd/states/22/2270000.html,Bossier Parish,Louisiana,city,0.5,2.5,2.4,25,54.7,123400,F,25,78140,41.2,15441,86,1.4,199311,70000,16715,21.1,7.3,1.5,13.2,D,0.8,1891.4,D,26.2,2.4,56.5,3240374,Z,17.9,83.1,88253,Z,2.5,16293,0.4,4.2,202066,200327,23999,1.3,24.2,18.5,40,38465,53.2,200410,661434,105.38
Notre Dame ,http://quickfacts.census.gov/qfd/states/18/1855386.html,St. Joseph County,Indiana,CDP,F,1.96,6.7,0.6,2.8,0,F,100,24,84,16,96,F,5973,55386,F,65.4,0.2,4.1,2.3,0,X,4944.5,0,F,F,0,0,0.1,F,50.4,239,X,9.9,NA,0.2,13.8,X,X,3635,7.4,73.5,8.2,76.7,21250,47.3,X,0,1.21
Scottsbluff ,http://quickfacts.census.gov/qfd/states/31/3144245.html,Scotts Bluff County,Nebraska,city,F,2.3,4.5,24.9,0.8,91800,F,25.9,6330,83,1067,82.9,S,15039,44245,1420,21.7,8,2.2,16.7,0,0.1,2419.8,249151,27.6,F,54.8,444198,Z,F,79.7,6712,-0.1,29.1,30248,3.4,15.1,15052,15023,19886,0.8,21.3,12.6,66.4,35116,52.4,15039,36871,6.22
Lemay ,http://quickfacts.census.gov/qfd/states/29/2941438.html,St. Louis County,Missouri,CDP,S,2.41,12.6,21.1,1.7,108800,F,17.4,6761,93.6,1364,78.6,F,16645,41438,1110,16.5,5.9,1.7,16.8,0,X,3806.3,46708,S,F,77.6,91631,Z,F,86.8,7610,X,3.1,NA,0.3,15.9,X,X,20348,1.7,14.4,24.8,91.6,40800,51.9,X,19196,4.37
Calexico ,http://quickfacts.census.gov/qfd/states/06/0609710.html,Imperial County,California,city,S,4.05,47.3,31.1,0.3,161500,F,25.5,9412,60,588,55.7,62.4,38572,9710,3528,24.1,7.7,4.2,11.4,0,1.6,4596.8,346684,31.2,5.1,56.5,545246,0.1,S,88.6,10651,2.1,96.8,14699,0.5,95.8,39193,39389,13553,1.3,14.1,23.8,1.7,37431,52.7,38572,44759,8.39
Plymouth ,http://quickfacts.census.gov/qfd/states/25/2554275.html,Plymouth County,Massachusetts,CDP,F,2.05,4.9,18.2,1.9,319000,F,55.7,3318,91.2,701,92.4,F,7494,54275,F,9.8,5.7,3,16.3,0,X,3348.5,0,F,F,47.3,0,0.1,F,83.2,3622,X,1.7,NA,0.3,5.5,X,X,34646,1.4,30.1,31.4,89.9,50593,53.9,X,0,2.24
Oregon ,http://quickfacts.census.gov/qfd/states/39/3958730.html,Lucas County,Ohio,city,F,2.39,2.7,22.6,1.4,135100,F,20.5,8311,93.5,1585,88.3,F,20291,58730,1102,8.5,5.4,1.9,17.6,D,-0.4,676.9,28917,28.9,F,72.9,402466,Z,F,88,8759,-0.4,7.5,20782,0.2,4.7,20239,20233,27080,0.8,17.6,19.1,89.1,52260,51.9,20313,45635,29.98
Ham Lake ,http://quickfacts.census.gov/qfd/states/27/2726738.html,Anoka County,Minnesota,city,F,2.9,2.5,27.5,0.7,270100,F,2.9,5264,94.4,1218,94.6,S,15296,26738,1906,2.7,5.4,1.3,8.4,94392,1.7,444.7,D,22.7,3.5,93.5,92349,Z,F,92.6,5378,2.9,2.2,6125,0.4,5.6,15550,15733,36962,2.5,27.9,32.6,93.3,90898,48.9,15296,9706,34.39
World Golf Village ,http://quickfacts.census.gov/qfd/states/12/1278740.html,St. Johns County,Florida,CDP,F,2.91,6.9,29.9,4,224300,F,7.7,4566,88.9,931,97.4,F,12310,78740,F,5.6,8.4,1.9,12,0,X,458.3,0,F,F,78.5,0,0.1,F,91.2,5098,X,7.6,NA,0.2,11.4,X,X,32926,3.4,40.2,27.8,83.4,74583,50.8,X,0,26.86
Webb City ,http://quickfacts.census.gov/qfd/states/29/2978118.html,Jasper County,Missouri,city,F,2.52,1.4,28.2,1.6,88700,F,17.3,4297,90.7,785,86.9,F,10996,78118,755,22.6,8.3,3,11.6,D,-1.2,1273.9,82827,S,F,64,140287,0.1,F,83,4730,-0.1,4.9,12461,1.5,3.6,10869,10989,17121,0.9,16.8,18.8,88.7,35113,52,10996,15587,8.63
Santa Cruz ,http://quickfacts.census.gov/qfd/states/06/0669112.html,Santa Cruz County,California,city,S,2.49,12.5,13.7,1.8,666300,F,31.5,21425,74.5,2543,92.5,S,59946,69112,7116,20.9,3.9,5.7,8.8,310852,3.4,4705.3,622435,S,S,43.9,830524,0.2,S,70.2,23316,4.9,19.4,15118,0.7,22.2,61977,62864,30755,7.7,50.8,21.9,66.7,62755,49.9,59948,193044,12.74
Chantilly ,http://quickfacts.census.gov/qfd/states/51/5114744.html,Fairfax County,Virginia,CDP,F,3.28,30.9,27.8,6.5,435800,F,7.9,7087,57.6,1583,90.5,6,23039,14744,4669,8.1,6.9,4.3,6.5,D,X,1916.6,608626,S,21.2,85.3,1511068,0.1,6,93.8,7403,X,15.9,NA,0.3,41.7,X,X,45109,25.2,50.1,30.6,49,123012,49.9,X,243479,12.02
Wade Hampton ,http://quickfacts.census.gov/qfd/states/45/4573870.html,Greenville County,South Carolina,CDP,F,2.25,10.5,20.5,10.2,160400,F,32.6,8830,78,1970,87.2,S,20622,73870,2205,13.9,5.9,2.1,18.1,0,X,2301.8,121488,29.9,4,61.5,320726,0.1,4.5,82.4,9948,X,11.2,NA,0.4,15.7,X,X,28892,3.2,37.5,18,73.5,45243,52.2,X,51804,8.96
Lexington ,http://quickfacts.census.gov/qfd/states/45/4541335.html,Lexington County,South Carolina,town,1.2,2.32,4.4,24.6,12.7,169200,F,34.3,7208,80.8,1047,93.5,1,17870,41335,3208,12.8,6.9,1.5,10.3,0,7.4,2014.4,334405,23.6,S,62.4,558345,Z,S,76.4,8101,9.5,3.5,37151,0.3,6.5,19192,19576,29983,3.7,41,22.3,78.5,58820,51.8,17870,70036,8.87
Teays Valley ,http://quickfacts.census.gov/qfd/states/54/5479545.html,Putnam County,West Virginia,CDP,F,2.5,2.4,23.9,1.6,197900,F,13,5283,95.3,1201,92.7,F,13175,79545,684,7.8,6.2,1.1,15.8,0,X,1837,42160,23.5,F,84.5,80193,0.1,F,91.7,5438,X,1,NA,0.1,3.1,X,X,33452,1.6,37.1,24.9,94.7,73762,52.3,X,11706,7.17
Wooster ,http://quickfacts.census.gov/qfd/states/39/3986548.html,Wayne County,Ohio,city,F,2.19,3.7,20.4,3.6,124500,F,32.4,10650,91.2,1996,90.3,F,26119,86548,2163,16.5,6.1,2.4,16.6,1245037,1.1,1601.4,579058,S,S,60.9,608686,Z,S,75.5,11822,1,2.2,23332,0.3,6.6,26399,26384,24090,1.9,27.5,16.5,89.9,40341,52.4,26119,61132,16.31
Simi Valley ,http://quickfacts.census.gov/qfd/states/06/0672016.html,Ventura County,California,city,S,2.99,19.7,25,1.4,448500,S,17.4,41186,75.3,7007,90.2,13.3,124237,72016,13188,6.6,6.1,4.6,10.6,831588,1,2995.1,852462,26.2,7.8,74.2,1689617,0.1,S,88.2,42506,1.6,23.3,14155,0.6,27.1,125436,126181,35769,9.3,32.1,29.4,62.8,87894,50.9,124239,204850,41.48
DeFuniak Springs ,http://quickfacts.census.gov/qfd/states/12/1216800.html,Walton County,Florida,city,F,2.32,9.1,24.1,20.4,116600,F,15.7,2172,70.7,515,78.9,F,5177,16800,F,32.4,8,2.9,20.2,0,6.1,376.7,0,F,F,62.1,0,0.3,F,83.1,2713,8.2,7.5,NA,0.7,18.3,5480,5584,15660,0.8,20.7,27.5,68.7,20682,53.6,5163,0,13.74
Northfield ,http://quickfacts.census.gov/qfd/states/17/1753663.html,Cook County,Illinois,village,F,2.51,15.6,23.8,0.5,641700,F,20.2,2078,91.3,397,98.2,F,5420,53663,1339,3.2,4.5,0.8,22.2,0,0.9,1686.4,267787,22,S,91.4,258981,Z,S,93.3,2381,1.1,2.9,47686,0.1,18.5,5468,5482,77471,6.8,75.8,28.5,89,116378,52.4,5420,11789,3.21
Wenatchee ,http://quickfacts.census.gov/qfd/states/53/5377105.html,Chelan County,Washington,city,F,2.6,13.1,26.1,0.4,214500,F,31.1,12042,76.7,2472,82.4,4.2,31925,77105,2943,12.6,7.8,3.1,15.2,D,1.4,4110.3,536601,27.4,S,57.8,655615,0.2,F,85,13175,1.9,29.4,21956,1.2,26.8,32564,32701,23842,1.1,24.1,15.4,66.4,46908,51.1,32105,77406,7.77
Erie ,http://quickfacts.census.gov/qfd/states/08/0824950.html,Boulder County,Colorado,town,F,2.95,7.7,31.1,0.7,334200,F,5.7,6080,89.2,869,97.7,S,18135,24950,2015,3.7,9.6,2.9,5.7,0,6.3,1055.6,2397,26.7,S,84.5,34743,Z,F,88.4,6581,8.8,8.8,2196,0.4,11.1,19278,19723,39398,4.2,55.6,27.2,83.8,107246,50.4,18133,5437,17.18
Louisville ,http://quickfacts.census.gov/qfd/states/08/0846355.html,Boulder County,Colorado,city,F,2.38,6,24.4,0.6,372900,F,20.1,7755,90.8,922,98.4,S,18376,46355,2709,5.6,5.8,2.4,9.9,343293,3.7,2330.5,431514,33.6,4.6,72.3,241633,Z,F,86.1,7892,6.4,7.2,12725,0.4,9.3,19084,19588,43798,4,68.8,21.8,85.9,84988,51,18405,36298,7.89
Harrisonville ,http://quickfacts.census.gov/qfd/states/29/2930610.html,Cass County,Missouri,city,F,2.45,0.3,27.1,1.1,118000,F,23.2,3930,95,806,87.2,F,10019,30610,853,14.7,7.3,1.7,15.5,D,-0.2,1013.8,77607,26.3,F,66.7,270820,Z,F,79.7,4144,-0.2,2.6,27506,0.7,3.5,10003,10001,23103,0.6,15.5,22.9,93.4,45567,52.8,10019,20311,9.88
Fountain Hills ,http://quickfacts.census.gov/qfd/states/04/0425300.html,Maricopa County,Arizona,town,S,2.24,7.9,14.4,1,357700,F,22,10117,94.1,2549,96.6,S,22489,25300,3217,5.8,3,1.4,27.8,0,2.4,1106.2,32720,23.1,F,83.5,212628,0.1,F,86.7,13167,3.3,4.1,8474,0.6,8.1,23031,23235,48244,1.8,44,27.7,91.5,75718,52.2,22489,26189,20.33
Amherst ,http://quickfacts.census.gov/qfd/states/39/3901798.html,Lorain County,Ohio,city,F,2.64,2.5,22.1,0.7,160200,F,9.6,4513,95.7,1162,91.9,F,12021,1798,993,6.6,4.1,1.7,17.8,D,0.2,1702.2,371086,S,F,83.6,255499,Z,F,88.3,5031,0.8,5.3,21862,0.2,3.8,12042,12112,28289,0.7,26.5,20.6,92,63497,51.7,12021,37174,7.06
Stickney ,http://quickfacts.census.gov/qfd/states/17/1772676.html,Cook County,Illinois,village,F,2.86,17,22,2.5,180300,F,20.9,2281,67.8,413,79.3,19.6,6786,72676,280,8.1,6.1,2.5,12.8,0,0.5,3525.2,380,S,F,76.8,D,0.1,F,86.9,3000,0.6,50.9,D,0.5,41.7,6817,6824,22697,1.5,9.2,30.4,44.7,43832,49.5,6786,4551,1.93
Utica ,http://quickfacts.census.gov/qfd/states/36/3676540.html,Oneida County,New York,city,F,2.42,17.6,24.7,15.3,88400,F,56.5,24304,69,3595,79,S,62235,76540,3683,30.1,7.5,4,14.8,542964,-0.5,3713.5,524737,27.1,S,48.5,580076,0.1,S,80.2,28166,-0.7,10.5,9980,0.3,26.6,61918,61808,17775,7.4,15.9,17.1,64.5,31048,51.9,62235,85940,16.76
Decatur ,http://quickfacts.census.gov/qfd/states/01/0120104.html,Limestone County,Alabama,city,S,2.45,8.8,24.1,21.7,126000,F,25.7,22346,66.5,4400,80.7,S,55683,20104,4508,19.3,6.7,2.2,14.5,2650095,0.5,1037.4,792994,22.5,1.8,61.6,1159607,0.1,11.7,86,24538,0.2,12.4,20882,0.7,12.2,56001,55816,24056,0.9,22.2,20,62.9,42374,51.9,55704,122424,53.67
Alamosa ,http://quickfacts.census.gov/qfd/states/08/0801090.html,Alamosa County,Colorado,city,F,2.29,5.2,24.2,1.7,143100,F,29.8,3477,69.8,673,83.7,18.6,8780,1090,935,27.1,8.8,4.9,10.4,0,6.9,1628.9,73332,21.3,F,51.8,236716,0.1,F,70.2,3671,8.3,53.2,27212,3.2,24.9,9434,9562,18598,1.2,28.2,12.3,41.5,28602,50.8,8828,25474,5.39
Fort Collins ,http://quickfacts.census.gov/qfd/states/08/0827425.html,Larimer County,Colorado,city,0.3,2.41,6.1,19.9,1.2,244900,F,31.9,56678,89,7830,95.5,3.8,143986,27425,14925,18.1,5.7,3.1,8.8,2179300,3.4,2652.8,371730,29.3,1.9,55.7,2152346,0.1,0.6,71.8,60503,5.5,10.1,16138,0.6,9.6,148938,152061,28714,2.9,52.3,19.6,83.1,53359,50.1,144073,327978,54.28
Travilah ,http://quickfacts.census.gov/qfd/states/24/2478650.html,Montgomery County,Maryland,CDP,F,3.32,30.5,28.6,4.9,0,F,0.7,3727,61.6,680,96.6,F,12159,78650,988,5.4,3.8,2.8,12.6,0,X,768.2,D,28.6,10.9,95.5,D,0,S,91.8,3950,X,3.6,D,0.1,41.8,X,X,84633,29.7,78.7,33.9,58.9,210186,50.5,X,4218,15.83
Greenbriar ,http://quickfacts.census.gov/qfd/states/51/5132592.html,Fairfax County,Virginia,CDP,F,2.58,15.4,22.7,5.4,410300,F,31.7,3115,68,600,98.9,F,8166,32592,F,2.5,6.6,4,11.3,0,X,5207.9,0,F,F,71,0,0.1,F,82,3224,X,12.8,NA,0.2,18.5,X,X,46213,17.8,56.4,33,61.1,109962,50.3,X,0,1.57
Buffalo ,http://quickfacts.census.gov/qfd/states/27/2708452.html,Wright County,Minnesota,city,F,2.58,4.6,29.7,0.8,177200,F,17.8,5820,95.1,1093,91.9,F,15453,8452,1891,9.6,8.4,2,11.8,0,1.8,2156.7,D,S,F,70,381951,Z,F,83.6,6044,2.4,2.8,27222,0.5,6.9,15738,15825,26153,0.9,26.1,26.5,93.4,61721,51.5,15457,18175,7.17
Stanford ,http://quickfacts.census.gov/qfd/states/06/0673906.html,Santa Clara County,California,CDP,F,2.17,25.7,6.6,4.7,0,F,66.4,3197,57.4,205,99,F,13809,73906,993,19.8,2.9,7.8,4.5,0,X,5056.4,0,S,S,28.5,45609,0.2,S,50,3999,X,10.4,NA,0.6,33.4,X,X,32151,27.4,92.3,12.4,50.2,55299,45.8,X,22018,2.73
Fayetteville ,http://quickfacts.census.gov/qfd/states/13/1328968.html,Fayette County,Georgia,city,F,2.63,9.7,26.7,33.9,197900,F,17.3,5878,55,1523,93.5,3.5,15945,28968,2733,7.4,5.1,2.8,14,0,0.7,1463.8,87946,S,S,77.3,683940,0.1,24.8,82.3,6499,1.7,4.8,45457,0.4,12.7,16214,16370,29536,6.6,42.7,33.1,52.3,64632,54.4,16097,66872,10.89
Blandon ,http://quickfacts.census.gov/qfd/states/42/4206984.html,Berks County,Pennsylvania,CDP,F,2.94,4.6,28.4,3.6,201200,F,7.1,2404,91.1,485,90.9,F,7152,6984,F,5.5,6.6,2.1,9.6,0,X,1611.5,0,F,F,89.4,0,Z,F,93.4,2569,X,5.9,NA,0.1,8.7,X,X,28115,1.5,23.9,22.2,87.8,75888,51,X,0,4.44
Chicago Ridge ,http://quickfacts.census.gov/qfd/states/17/1714065.html,Cook County,Illinois,village,S,2.38,19.8,23.3,7,176900,F,67.1,5814,83.1,640,87.6,4,14305,14065,1454,11,8,3,12.1,0,0.8,6346.5,77996,S,3.3,52.1,293259,Z,2.8,84.8,5919,1,12.4,22123,0.3,30.9,14422,14450,23693,1.8,18.9,33.7,76.6,49694,51,14308,27676,2.25
Pacifica ,http://quickfacts.census.gov/qfd/states/06/0654806.html,San Mateo County,California,city,F,2.66,20.8,20.7,2.6,617600,F,18.7,13997,64.9,2216,94.5,S,37234,54806,3539,4.6,5.4,7.1,12.1,0,2.6,2941.5,D,S,14.2,70.1,177475,0.8,F,89.7,14523,3.5,16.8,4826,0.6,26.6,38260,38606,43089,19.4,40.3,28.2,55.6,96014,51.1,37295,37075,12.66
Yardville ,http://quickfacts.census.gov/qfd/states/34/3483170.html,Mercer County,New Jersey,CDP,F,2.54,5.3,20,2.8,295300,F,12.5,2815,92.9,713,92.3,F,7186,83170,F,2.8,4.9,0.9,16.2,0,X,1773.9,0,F,F,82.7,0,0,F,93.2,2841,X,4.3,NA,0.1,11.9,X,X,38658,2.3,27.1,24.9,89.9,95754,50.9,X,0,4.05
Moosic ,http://quickfacts.census.gov/qfd/states/42/4250880.html,Lackawanna County,Pennsylvania,borough,F,2.42,1.5,19.6,1,152500,F,13,2352,95.3,572,89,F,5719,50880,649,10.5,5.5,0.6,18.8,D,Z,883.1,D,5.7,F,78.1,195002,0,F,93.4,2500,-0.3,3.7,33825,0.1,4.4,5720,5703,32260,1.8,29.7,19.3,92.8,51415,51.6,5719,54265,6.48
South Milwaukee ,http://quickfacts.census.gov/qfd/states/55/5575125.html,Milwaukee County,Wisconsin,city,F,2.48,5.6,21.8,2,166000,F,38.4,8390,91.6,1554,88.1,S,21156,75125,1251,10.3,5.7,2.2,15.6,852645,0.3,4408.4,6675,33.5,F,63.5,64703,Z,F,87.3,9722,0.4,8,3069,0.8,11.2,21219,21239,25314,1.1,18.6,22.3,86.8,53990,51,21155,11807,4.8
Allison Park ,http://quickfacts.census.gov/qfd/states/42/4202056.html,Allegheny County,Pennsylvania,CDP,F,2.49,4.7,21.7,1.5,196700,F,19.6,8609,94.4,1637,97,F,21552,2056,F,5.4,4.4,0.8,19.1,0,X,1557.3,0,F,F,81.1,0,Z,F,92.3,9177,X,0.9,NA,0.1,5,X,X,38764,3.1,47.6,26,93.7,74955,52.3,X,0,13.84
Cos Cob ,http://quickfacts.census.gov/qfd/states/09/0917520.html,Fairfield County,Connecticut,CDP,F,2.78,23.3,27.5,1.1,935700,F,21.8,2366,86,172,95.5,F,6770,17520,F,3.4,7.6,2.2,13.3,0,X,3262.7,0,F,F,77,0,Z,F,90.5,2698,X,7.5,NA,0.1,31.1,X,X,73376,9.1,64.3,32.6,80,139048,52.2,X,0,2.08
Lake Wales ,http://quickfacts.census.gov/qfd/states/12/1238950.html,Polk County,Florida,city,F,2.44,9.1,23.8,27.5,131300,F,31.5,5700,65,1404,77.3,S,14225,38950,1262,29.3,7,2.2,23,D,3.7,761,165398,26.7,S,57.6,514993,0.1,S,78.6,6900,5,15.6,36418,0.5,18.7,14733,14916,18416,0.8,17.2,21.5,55,34912,52.6,14205,32893,18.69
Norwood ,http://quickfacts.census.gov/qfd/states/25/2550285.html,Norfolk County,Massachusetts,CDP,F,2.42,14.8,20.4,5.2,378900,F,47.7,11623,85.1,1995,94.1,F,28602,50285,F,7,6.1,1.9,17.3,0,X,2758.7,0,F,F,58.5,0,Z,F,89.1,12479,X,4.3,NA,0.2,17.9,X,X,36814,5.9,41.1,28.4,82.7,75795,52.1,X,0,10.37
Randallstown ,http://quickfacts.census.gov/qfd/states/24/2464950.html,Baltimore County,Maryland,CDP,S,2.67,8.9,24,80.7,259000,F,21.3,11994,13.5,2420,91.5,S,32430,64950,2872,7.2,5.7,2.3,13.2,0,X,3174.4,24581,41.3,5.6,74.4,188591,Z,61.5,91.6,12634,X,2.7,NA,0.2,8,X,X,33254,2,33.7,33.6,12.8,76118,54.6,X,15706,10.22
Magna ,http://quickfacts.census.gov/qfd/states/49/4947290.html,Salt Lake County,Utah,CDP,F,3.59,11.5,34.4,0.9,157000,F,10.9,7670,78.4,1282,81.2,8.1,26505,47290,1356,13,10.6,3.6,5.6,D,X,3347.4,11932,30.5,F,79.3,75391,2,F,86.4,8087,X,23.3,NA,1,21.8,X,X,18229,0.8,10.9,22.3,70.3,55455,49.5,X,12153,7.92
Bradley Gardens ,http://quickfacts.census.gov/qfd/states/34/3407000.html,Somerset County,New Jersey,CDP,F,2.91,32.7,28.5,2,405300,F,15.9,4780,63.4,324,95.1,F,14206,7000,F,2.5,6.7,1.8,9.3,0,X,3166,0,F,F,92.9,0,Z,F,93.2,5081,X,5,NA,0.1,42.1,X,X,46270,31.5,62.7,34.1,59.9,119970,52.3,X,0,4.49
Marysville ,http://quickfacts.census.gov/qfd/states/39/3948160.html,Union County,Ohio,city,F,2.58,3.1,26.6,4.5,162000,F,30.2,7498,90.4,1409,90.4,F,22094,48160,1643,8.2,7.8,1.8,8.1,D,0.1,1357.9,122825,31.3,S,59.9,346123,0.1,S,77.5,7969,1.4,1.8,19099,0.3,4.5,22112,22396,22353,2.3,26.5,21.9,89.5,56430,57.2,22094,40124,16.27
The Colony ,http://quickfacts.census.gov/qfd/states/48/4872530.html,Denton County,Texas,city,F,2.7,15.3,27,8.1,140700,F,22.1,13601,75.4,2485,94.5,S,36328,72530,3293,4.7,7.3,3.5,5,0,7.6,2592.1,121485,32.6,S,68.5,204606,0.1,S,85.5,14052,8.6,21.2,4937,0.8,20.9,39098,39458,33099,5.8,33.7,29.1,61.9,75982,50.1,36328,33301,14.02
Westerville ,http://quickfacts.census.gov/qfd/states/39/3983342.html,Delaware County,Ohio,city,F,2.61,5.6,22.4,6.4,210800,F,19.8,13276,88.6,2574,96.4,0.7,36120,83342,4926,7.2,5.2,2.1,14.3,297389,3,2895.9,379689,27.5,S,74.5,442593,Z,S,85.5,14467,3.9,1.9,12319,0.2,5.8,37209,37530,36857,2.3,51.1,20.2,87.3,84095,53,36121,86764,12.47
Augusta ,http://quickfacts.census.gov/qfd/states/23/2302100.html,Kennebec County,Maine,city,S,2.04,3.2,18.3,1.1,133700,F,46,9036,94.1,1956,88.7,F,19136,2100,2111,18.1,5.4,2.3,18,138803,-1,347.1,701165,19.7,2.4,54.4,1007910,0.1,S,82.7,9756,-1.8,1.8,54423,0.7,10,18938,18793,22667,1.5,23.2,18.2,92.9,35030,51.4,19132,78712,55.13
Irondale ,http://quickfacts.census.gov/qfd/states/13/1341347.html,Clayton County,Georgia,CDP,F,3.33,18.2,32.7,58.5,103700,F,0,2468,24,562,85,F,7446,41347,499,19.3,8.5,3,5,0,X,2360.1,D,S,F,73.6,31149,0.1,S,87.3,2626,X,25.2,NA,0.6,26.4,X,X,16834,1.4,23.2,38.1,13.9,48990,51.9,X,736,3.16
Rocky Point ,http://quickfacts.census.gov/qfd/states/36/3663319.html,Suffolk County,New York,CDP,F,2.95,4.9,27.2,1.5,316500,F,9.3,4693,93.7,884,94.8,F,14014,63319,F,4.7,6.9,1.4,8.8,0,X,1240.4,0,F,F,88.3,0,Z,F,92.5,5366,X,7,NA,0.1,8.2,X,X,33553,1.6,28.4,35.9,88.7,92117,50.3,X,0,11.3
Florissant ,http://quickfacts.census.gov/qfd/states/29/2924778.html,St. Louis County,Missouri,city,F,2.37,2.2,23.9,26.8,111100,F,18.1,21721,69.3,4640,90.1,S,52158,24778,3471,8.6,6.4,2.3,15.5,0,0.2,4152.4,29734,28.3,S,74,737237,Z,22,86.8,22632,0.1,2,14487,0.2,3.8,52404,52363,25838,0.8,20.6,23.9,68.2,51529,53.2,52285,96440,12.56
Jerome ,http://quickfacts.census.gov/qfd/states/16/1641320.html,Jerome County,Idaho,city,F,2.84,17.9,33,0.4,100400,F,13.6,3746,78.3,519,67.4,S,10890,41320,842,27.7,11.3,2.2,10.2,D,1.1,1971.8,50305,16.5,F,60.1,201708,0.1,F,84,3985,1.4,34.3,22864,1.8,24.8,11008,11038,14252,0.4,11,19.7,62.9,32672,49.6,10890,11204,5.52
Mesquite ,http://quickfacts.census.gov/qfd/states/48/4847892.html,Dallas County,Texas,city,S,2.93,14.8,29.8,21.8,111300,F,25.9,47370,59,6887,80.6,S,139824,47892,10237,14.4,7.8,3.1,8.6,987470,2.6,3038.3,782558,28.3,5.9,61.2,1871468,0.1,16.2,84.9,51952,2.8,31.6,14310,0.8,30.9,143317,143484,21641,3.2,17.6,28.5,41.6,51846,52.3,139629,219724,46.02
Bettendorf ,http://quickfacts.census.gov/qfd/states/19/1906355.html,Scott County,Iowa,city,F,2.5,4.5,25.5,2.2,170100,F,21.2,13276,91.9,2588,96,F,33217,6355,3070,6,6,1.8,14.8,1350559,3,1565.6,503925,26.3,2.8,77,306936,0.1,S,87,14437,4.5,3.6,9470,0.2,6.9,34200,34707,36601,3.1,46.1,17.7,89.4,69083,51.4,33213,153574,21.22
Lexington ,http://quickfacts.census.gov/qfd/states/31/3126910.html,Dawson County,Nebraska,city,F,3.33,37.5,32.5,6.6,81800,F,19.2,3002,57.9,378,54,13,10230,26910,678,16.6,9.7,3.3,9.3,D,-0.4,2273.3,D,24.6,F,59.4,174759,0.4,F,81.6,3403,-0.3,60.4,17192,1.2,65.6,10185,10204,15669,1,9.3,14,31,42685,48.3,10230,12751,4.5
